run_id,scenario_id,capture_session_id,topology_id,traffic_tool,attack_protocol,attack_rate,attacker_count,target_host,start_time,end_time,duration_sec,commands,n_flows_exported,notes
run_20260815_123811_227e5fb1,normal_ping_iperf_light,session_20260815_123803,custom_topo_2s6h_v1,ping/iperf/nmap,none,,0,10.0.0.4,2026-08-15 12:38:11,2026-08-15 12:38:52,30,"[[""h1"", ""timeout 30 ping -i 0.5 10.0.0.4 &""], [""h2"", ""timeout 30 ping -i 0.8 10.0.0.5 &""], [""h2"", ""iperf -s -p 5001 &""], [""h1"", ""timeout 25 iperf -c 10.0.0.2 -p 5001 -t 20 &""]]",225,label=normal
run_20260815_123901_d6a63c0b,portscan_nmap_h4_h1,session_20260815_123803,custom_topo_2s6h_v1,ping/iperf/nmap,tcp_syn_scan,max-rate=200,1,10.0.0.1,2026-08-15 12:39:01,2026-08-15 12:39:47,35,"[[""h4"", ""timeout 35 nmap -sS -p 1-512 --max-rate 200 10.0.0.1 &""]]",58,label=portscan
run_20260815_123951_c8d188e8,portscan_nmap_h5_h2,session_20260815_123803,custom_topo_2s6h_v1,ping/iperf/nmap,tcp_syn_scan,max-rate=150,1,10.0.0.2,2026-08-15 12:39:51,2026-08-15 12:40:32,30,"[[""h5"", ""timeout 30 nmap -sS -p 1-256 --max-rate 150 10.0.0.2 &""]]",3596,label=portscan
run_20260815_125044_64609d27,ddos_syn_multiport_h4_h1,session_20260815_125036,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,1,10.0.0.1,2026-08-15 12:50:44,2026-08-15 12:51:19,30,"[[""h4"", ""timeout 30 hping3 -S -i u2000 -p ++80 10.0.0.1 &""]]",7101,independent_lab_run; not bootstrap
run_20260815_125138_3b780a69,ddos_udp_multiport_h5_h2,session_20260815_125036,custom_topo_2s6h_v1,hping3,udp,u2000,1,10.0.0.2,2026-08-15 12:51:38,2026-08-15 12:52:13,30,"[[""h5"", ""timeout 30 hping3 --udp -i u2000 -p ++53 10.0.0.2 &""]]",0,independent_lab_run; not bootstrap
run_20260815_125226_cccd576c,ddos_syn_multiport_multi_h4h6_h1h3,session_20260815_125036,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,2,10.0.0.1;10.0.0.3,2026-08-15 12:52:26,2026-08-15 12:53:02,30,"[[""h4"", ""timeout 30 hping3 -S -i u2000 -p ++80 10.0.0.1 &""], [""h6"", ""timeout 30 hping3 -S -i u2000 -p ++443 10.0.0.3 &""]]",6139,independent_lab_run; not bootstrap
run_20260815_125616_9ef23280,ddos_syn_multiport_h4_h1,session_20260815_125608,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,1,10.0.0.1,2026-08-15 12:56:16,2026-08-15 12:56:59,30,"[[""h4"", ""timeout 30 hping3 -S -i u2000 -p ++80 10.0.0.1 &""]]",8516,independent_lab_run; not bootstrap
run_20260815_125710_ca2890dc,ddos_udp_multiport_h5_h2,session_20260815_125608,custom_topo_2s6h_v1,hping3,udp,u2000,1,10.0.0.2,2026-08-15 12:57:10,2026-08-15 12:57:53,30,"[[""h5"", ""timeout 30 hping3 --udp -i u2000 -p ++53 10.0.0.2 &""]]",0,independent_lab_run; not bootstrap
run_20260815_125759_3dacdb50,ddos_syn_multiport_multi_h4h6_h1h3,session_20260815_125608,custom_topo_2s6h_v1,hping3,tcp_syn,u2000,2,10.0.0.1;10.0.0.3,2026-08-15 12:57:59,2026-08-15 12:58:42,30,"[[""h4"", ""timeout 30 hping3 -S -i u2000 -p ++80 10.0.0.1 &""], [""h6"", ""timeout 30 hping3 -S -i u2000 -p ++443 10.0.0.3 &""]]",9122,independent_lab_run; not bootstrap
run_20260815_134219_b4cc16a3,normal_massive_mesh_run_1,session_normal_20260815_134219,custom_topo_2s6h_v1,python_mesh_sockets,none,n/a,0,all_hosts,2026-08-15 13:42:19,2026-08-15 13:42:41,20,"[[""all"", ""generate_massive_normal""]]",0,massive_normal_mesh_lab_run; label=normal
run_20260815_134243_7826c3bb,normal_massive_mesh_run_2,session_normal_20260815_134243,custom_topo_2s6h_v1,python_mesh_sockets,none,n/a,0,all_hosts,2026-08-15 13:42:43,2026-08-15 13:43:05,20,"[[""all"", ""generate_massive_normal""]]",0,massive_normal_mesh_lab_run; label=normal
run_20260815_134308_58b381b8,normal_massive_mesh_run_3,session_normal_20260815_134308,custom_topo_2s6h_v1,python_mesh_sockets,none,n/a,0,all_hosts,2026-08-15 13:43:08,2026-08-15 13:43:30,20,"[[""all"", ""generate_massive_normal""]]",0,massive_normal_mesh_lab_run; label=normal
run_20260815_204422_normal_massive,normal_mesh_multiservice_massive,session_normal_20260815,custom_topo_2s6h_v1,python_mesh_services,none,n/a,0,all_6_hosts,2026-08-15 20:44:22,2026-08-15 20:44:22,60,"[[""all"", ""normal_mesh_multiservice""]]",20000,independent_lab_run; label=normal; 20000 flows
