timestamp,datapath_id,flow_id,ip_src,ip_dst,ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,duration_nsec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
2026-05-22 11:17:53,1,92456258,10.0.0.1,10.0.0.2,1,0,0,2,196,3,586000000,0.5577,54.657,98.0,3.586,normal
2026-05-22 11:17:53,1,20453979,10.0.0.1,10.0.0.3,1,0,0,1,98,3,582000000,0.2792,27.359,98.0,3.582,normal
2026-05-22 11:17:53,1,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,3,578000000,0.2795,27.3896,98.0,3.578,normal
2026-05-22 11:17:53,1,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,3,574000000,0.2798,27.4203,98.0,3.574,normal
2026-05-22 11:17:53,1,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,3,568000000,0.2803,27.4664,98.0,3.568,normal
2026-05-22 11:17:53,1,45816493,10.0.0.2,10.0.0.3,1,0,0,1,98,3,560000000,0.2809,27.5281,98.0,3.56,normal
2026-05-22 11:17:53,1,10088254,10.0.0.2,10.0.0.4,1,0,0,1,98,3,556000000,0.2812,27.5591,98.0,3.556,normal
2026-05-22 11:17:53,1,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,3,551000000,0.2816,27.5979,98.0,3.551,normal
2026-05-22 11:17:53,1,62090314,10.0.0.2,10.0.0.6,1,0,0,1,98,3,547000000,0.2819,27.629,98.0,3.547,normal
2026-05-22 11:17:53,1,78105818,10.0.0.3,10.0.0.4,1,0,0,1,98,3,537000000,0.2827,27.7071,98.0,3.537,normal
2026-05-22 11:17:53,1,13935663,10.0.0.3,10.0.0.5,1,0,0,1,98,3,533000000,0.283,27.7385,98.0,3.533,normal
2026-05-22 11:17:53,1,65160803,10.0.0.3,10.0.0.6,1,0,0,1,98,3,529000000,0.2834,27.7699,98.0,3.529,normal
2026-05-22 11:17:53,1,14554726,10.0.0.1,10.0.0.2,6,33364,5001,179377,7929647218,1,474000000,121694.0299,5379679252.3745,44206.5996,1.474,normal
2026-05-22 11:17:53,1,28252214,10.0.0.1,10.0.0.3,6,47966,80,0,0,1,471000000,0.0,0.0,0.0,1.471,normal
2026-05-22 11:17:53,2,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,3,578000000,0.2795,27.3896,98.0,3.578,normal
2026-05-22 11:17:53,2,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,3,573000000,0.2799,27.4279,98.0,3.573,normal
2026-05-22 11:17:53,2,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,3,568000000,0.2803,27.4664,98.0,3.568,normal
2026-05-22 11:17:53,2,10088254,10.0.0.2,10.0.0.4,1,0,0,2,196,3,555000000,0.5626,55.1336,98.0,3.555,normal
2026-05-22 11:17:53,2,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,3,551000000,0.2816,27.5979,98.0,3.551,normal
2026-05-22 11:17:53,2,62090314,10.0.0.2,10.0.0.6,1,0,0,1,98,3,546000000,0.282,27.6368,98.0,3.546,normal
2026-05-22 11:17:53,2,78105818,10.0.0.3,10.0.0.4,1,0,0,2,196,3,537000000,0.5655,55.4142,98.0,3.537,normal
2026-05-22 11:17:53,2,13935663,10.0.0.3,10.0.0.5,1,0,0,1,98,3,533000000,0.283,27.7385,98.0,3.533,normal
2026-05-22 11:17:53,2,65160803,10.0.0.3,10.0.0.6,1,0,0,1,98,3,529000000,0.2834,27.7699,98.0,3.529,normal
2026-05-22 11:17:53,2,62244751,10.0.0.4,10.0.0.5,1,0,0,1,98,3,519000000,0.2842,27.8488,98.0,3.519,normal
2026-05-22 11:17:53,2,85193360,10.0.0.4,10.0.0.6,1,0,0,1,98,3,516000000,0.2844,27.8726,98.0,3.516,normal
2026-05-22 11:17:53,2,70049401,10.0.0.5,10.0.0.6,1,0,0,1,98,3,504000000,0.2854,27.968,98.0,3.504,normal
2026-05-22 11:17:58,1,92456258,10.0.0.1,10.0.0.2,1,0,0,2,196,8,586000000,0.2329,22.8279,98.0,8.586,normal
2026-05-22 11:17:58,1,20453979,10.0.0.1,10.0.0.3,1,0,0,1,98,8,582000000,0.1165,11.4192,98.0,8.582,normal
2026-05-22 11:17:58,1,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,8,578000000,0.1166,11.4246,98.0,8.578,normal
2026-05-22 11:17:58,1,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,8,574000000,0.1166,11.4299,98.0,8.574,normal
2026-05-22 11:17:58,1,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,8,568000000,0.1167,11.4379,98.0,8.568,normal
2026-05-22 11:17:58,1,45816493,10.0.0.2,10.0.0.3,1,0,0,1,98,8,560000000,0.1168,11.4486,98.0,8.56,normal
2026-05-22 11:17:58,1,10088254,10.0.0.2,10.0.0.4,1,0,0,1,98,8,556000000,0.1169,11.454,98.0,8.556,normal
2026-05-22 11:17:58,1,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,8,551000000,0.1169,11.4606,98.0,8.551,normal
2026-05-22 11:17:58,1,62090314,10.0.0.2,10.0.0.6,1,0,0,1,98,8,547000000,0.117,11.466,98.0,8.547,normal
2026-05-22 11:17:58,1,78105818,10.0.0.3,10.0.0.4,1,0,0,1,98,8,537000000,0.1171,11.4794,98.0,8.537,normal
2026-05-22 11:17:58,1,13935663,10.0.0.3,10.0.0.5,1,0,0,1,98,8,533000000,0.1172,11.4848,98.0,8.533,normal
2026-05-22 11:17:58,1,65160803,10.0.0.3,10.0.0.6,1,0,0,1,98,8,529000000,0.1172,11.4902,98.0,8.529,normal
2026-05-22 11:17:58,1,14554726,10.0.0.1,10.0.0.2,6,33364,5001,1054240,46649430752,6,474000000,162842.1378,7205658132.839,44249.3462,6.474,normal
2026-05-22 11:17:58,1,28252214,10.0.0.1,10.0.0.3,6,47966,80,0,0,6,471000000,0.0,0.0,0.0,6.471,normal
2026-05-22 11:17:58,2,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,8,578000000,0.1166,11.4246,98.0,8.578,normal
2026-05-22 11:17:58,2,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,8,573000000,0.1166,11.4312,98.0,8.573,normal
2026-05-22 11:17:58,2,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,8,568000000,0.1167,11.4379,98.0,8.568,normal
2026-05-22 11:17:58,2,10088254,10.0.0.2,10.0.0.4,1,0,0,2,196,8,555000000,0.2338,22.9106,98.0,8.555,normal
2026-05-22 11:17:58,2,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,8,551000000,0.1169,11.4606,98.0,8.551,normal
2026-05-22 11:17:58,2,62090314,10.0.0.2,10.0.0.6,1,0,0,1,98,8,546000000,0.117,11.4674,98.0,8.546,normal
2026-05-22 11:17:58,2,78105818,10.0.0.3,10.0.0.4,1,0,0,2,196,8,537000000,0.2343,22.9589,98.0,8.537,normal
2026-05-22 11:17:58,2,13935663,10.0.0.3,10.0.0.5,1,0,0,1,98,8,533000000,0.1172,11.4848,98.0,8.533,normal
2026-05-22 11:17:58,2,65160803,10.0.0.3,10.0.0.6,1,0,0,1,98,8,529000000,0.1172,11.4902,98.0,8.529,normal
2026-05-22 11:17:58,2,62244751,10.0.0.4,10.0.0.5,1,0,0,1,98,8,519000000,0.1174,11.5037,98.0,8.519,normal
2026-05-22 11:17:58,2,85193360,10.0.0.4,10.0.0.6,1,0,0,1,98,8,516000000,0.1174,11.5078,98.0,8.516,normal
2026-05-22 11:17:58,2,70049401,10.0.0.5,10.0.0.6,1,0,0,1,98,8,504000000,0.1176,11.524,98.0,8.504,normal
2026-05-22 11:18:03,1,92456258,10.0.0.1,10.0.0.2,1,0,0,2,196,13,586000000,0.1472,14.4266,98.0,13.586,normal
2026-05-22 11:18:03,1,20453979,10.0.0.1,10.0.0.3,1,0,0,1,98,13,582000000,0.0736,7.2154,98.0,13.582,normal
2026-05-22 11:18:03,1,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,13,578000000,0.0736,7.2176,98.0,13.578,normal
2026-05-22 11:18:03,1,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,13,574000000,0.0737,7.2197,98.0,13.574,normal
2026-05-22 11:18:03,1,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,13,568000000,0.0737,7.2229,98.0,13.568,normal
2026-05-22 11:18:03,1,45816493,10.0.0.2,10.0.0.3,1,0,0,1,98,13,560000000,0.0737,7.2271,98.0,13.56,normal
2026-05-22 11:18:03,1,10088254,10.0.0.2,10.0.0.4,1,0,0,1,98,13,556000000,0.0738,7.2293,98.0,13.556,normal
2026-05-22 11:18:03,1,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,13,551000000,0.0738,7.2319,98.0,13.551,normal
2026-05-22 11:18:03,1,62090314,10.0.0.2,10.0.0.6,1,0,0,1,98,13,547000000,0.0738,7.2341,98.0,13.547,normal
2026-05-22 11:18:03,1,78105818,10.0.0.3,10.0.0.4,1,0,0,1,98,13,537000000,0.0739,7.2394,98.0,13.537,normal
2026-05-22 11:18:03,1,13935663,10.0.0.3,10.0.0.5,1,0,0,1,98,13,533000000,0.0739,7.2416,98.0,13.533,normal
2026-05-22 11:18:03,1,65160803,10.0.0.3,10.0.0.6,1,0,0,1,98,13,529000000,0.0739,7.2437,98.0,13.529,normal
2026-05-22 11:18:03,1,14554726,10.0.0.1,10.0.0.2,6,33364,5001,1923764,85258897128,11,474000000,167662.89,7430616796.9322,44318.7923,11.474,normal
2026-05-22 11:18:03,1,28252214,10.0.0.1,10.0.0.3,6,47966,80,0,0,11,471000000,0.0,0.0,0.0,11.471,normal
2026-05-22 11:18:03,2,54838661,10.0.0.1,10.0.0.4,1,0,0,1,98,13,578000000,0.0736,7.2176,98.0,13.578,normal
2026-05-22 11:18:03,2,95586377,10.0.0.1,10.0.0.5,1,0,0,1,98,13,573000000,0.0737,7.2202,98.0,13.573,normal
2026-05-22 11:18:03,2,41893646,10.0.0.1,10.0.0.6,1,0,0,1,98,13,568000000,0.0737,7.2229,98.0,13.568,normal
2026-05-22 11:18:03,2,10088254,10.0.0.2,10.0.0.4,1,0,0,2,196,13,555000000,0.1475,14.4596,98.0,13.555,normal
2026-05-22 11:18:03,2,40030935,10.0.0.2,10.0.0.5,1,0,0,1,98,13,551000000,0.0738,7.2319,98.0,13.551,normal
