protocol,model,fold,heldout_scenario,heldout_label,n_test_snapshots,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,false_positive_rate_normal
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,7,ddos_udp_multi_h5h6_h2h3,ddos,5284,0.0003785011355034,1.0,0.0003785011355034,0.0007567158531971,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,8,ddos_udp_multiport_h5_h2,ddos,2412,0.7823383084577115,1.0,0.7823383084577115,0.8778785764131193,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,8,ddos_udp_multiport_h5_h2,ddos,2412,0.8598673300165838,1.0,0.8598673300165838,0.9246544806063308,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,8,ddos_udp_multiport_h5_h2,ddos,2412,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,8,ddos_udp_multiport_h5_h2,ddos,2412,0.4233001658374792,1.0,0.4233001658374792,0.5948150305854938,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,9,normal_mesh_ping_iperf_http_a,normal,39821,0.7072398985459933,0.0,0.0,0.0,0.2927601014540066
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,9,normal_mesh_ping_iperf_http_a,normal,39821,0.685015444112403,0.0,0.0,0.0,0.314984555887597
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,9,normal_mesh_ping_iperf_http_a,normal,39821,0.9629592426106828,0.0,0.0,0.0,0.0370407573893172
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,9,normal_mesh_ping_iperf_http_a,normal,39821,0.9524371562743276,0.0,0.0,0.0,0.0475628437256723
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,10,normal_mesh_ping_iperf_http_b,normal,43721,0.8126758308364401,0.0,0.0,0.0,0.1873241691635598
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,10,normal_mesh_ping_iperf_http_b,normal,43721,0.7807460945541045,0.0,0.0,0.0,0.2192539054458955
