Class,Precision,Recall,F1-Score,Support
ddos,0.4857574570485198,0.9951845906902087,0.6528524688804482,8722
normal,0.9356502242152467,0.9988032551460029,0.9661958786756194,4178
portscan,0.9980780479652377,0.7160027575457842,0.8338307415746025,33363
