Method,Threshold,Accuracy,Precision,Recall,F1-Score
Static Threshold (pkt/s),100,0.0707070707070707,0.9711538461538461,0.045618789521228546,0.08714408973252805
Multi-Rule IDS,pkt/s>10k OR (bytes<200 & pkts>=2),0.06587615283267458,0.8849557522123894,0.045167118337850046,0.08594757198109153
Z-Score Statistical,mean+2σ = 80264,0.05006587615283267,0.9473684210526315,0.024390243902439025,0.047556142668428
XGBoost (ML),Supervised,1.0,1.0,1.0,1.0
Isolation Forest (ML),Unsupervised,0.9815546772068512,0.9986225895316804,0.9823848238482384,0.9904371584699454
Autoencoder (ML),Unsupervised,0.9964866051822574,0.998193315266486,0.998193315266486,0.998193315266486
