model,held_out_scenario,n_test,accuracy,f1_macro
random_forest,B_10M_m,165,0.24242424242424243,0.0975609756097561
random_forest,B_10M_t,146,0.410958904109589,0.14563106796116504
random_forest,B_1M_m,145,0.36551724137931035,0.13383838383838384
random_forest,B_1M_t,145,0.6896551724137931,0.20408163265306123
random_forest,B_20M_m,146,0.21232876712328766,0.08757062146892655
random_forest,B_20M_t,147,0.10204081632653061,0.046296296296296294
random_forest,B_2M_m,163,0.4110429447852761,0.14565217391304347
random_forest,B_2M_t,148,0.7837837837837838,0.2196969696969697
random_forest,B_5M_m,144,0.375,0.1818181818181818
random_forest,B_5M_t,148,0.4189189189189189,0.14761904761904762
random_forest,D_100ms_m,144,0.2777777777777778,0.14492753623188406
random_forest,D_100ms_t,144,0.3333333333333333,0.125
random_forest,D_10ms_m,166,0.21084337349397592,0.08706467661691543
random_forest,D_10ms_t,144,0.2986111111111111,0.11497326203208556
random_forest,D_200ms_m,166,0.1686746987951807,0.07216494845360824
random_forest,D_200ms_t,147,0.23129251700680273,0.12523020257826886
random_forest,D_25ms_m,146,0.22602739726027396,0.12290502793296089
random_forest,D_25ms_t,149,0.3422818791946309,0.1275
random_forest,D_50ms_m,149,0.2483221476510067,0.13261648745519714
random_forest,D_50ms_t,149,0.4161073825503356,0.14691943127962084
random_forest,L_10pct_m,146,0.21232876712328766,0.08757062146892655
random_forest,L_10pct_t,145,0.32413793103448274,0.16319444444444445
random_forest,L_1pct_m,147,0.17687074829931973,0.10019267822736032
random_forest,L_1pct_t,145,0.2689655172413793,0.10597826086956522
random_forest,L_20pct_m,146,0.1506849315068493,0.08730158730158731
random_forest,L_20pct_t,152,0.5,0.2222222222222222
random_forest,L_3pct_m,145,0.296551724137931,0.11436170212765957
random_forest,L_3pct_t,144,0.3055555555555556,0.11702127659574468
random_forest,L_5pct_m,150,0.2,0.1111111111111111
random_forest,L_5pct_t,159,0.3270440251572327,0.12322274881516587
random_forest,N_high,163,0.012269938650306749,0.006060606060606061
random_forest,N_http,145,1.0,1.0
random_forest,N_low,148,1.0,1.0
random_forest,N_ping,142,1.0,1.0
random_forest,N_tcp,147,0.0,0.0
random_forest,N_udp,145,1.0,1.0
random_forest,_pooled,5370,0.37262569832402237,0.41681828707683777
xgboost,B_10M_m,165,0.26666666666666666,0.10526315789473684
xgboost,B_10M_t,146,0.410958904109589,0.14563106796116504
xgboost,B_1M_m,145,0.296551724137931,0.11436170212765957
xgboost,B_1M_t,145,0.696551724137931,0.20528455284552846
xgboost,B_20M_m,146,0.2054794520547945,0.08522727272727272
xgboost,B_20M_t,147,0.08843537414965986,0.040625
xgboost,B_2M_m,163,0.4785276073619632,0.16182572614107885
xgboost,B_2M_t,148,0.8108108108108109,0.22388059701492538
xgboost,B_5M_m,144,0.4166666666666667,0.19607843137254902
xgboost,B_5M_t,148,0.42567567567567566,0.14928909952606634
xgboost,D_100ms_m,144,0.2638888888888889,0.1043956043956044
xgboost,D_100ms_t,144,0.2986111111111111,0.11497326203208556
xgboost,D_10ms_m,166,0.19879518072289157,0.0829145728643216
xgboost,D_10ms_t,144,0.3263888888888889,0.12303664921465969
xgboost,D_200ms_m,166,0.21686746987951808,0.0891089108910891
xgboost,D_200ms_t,147,0.30612244897959184,0.15625
xgboost,D_25ms_m,146,0.1643835616438356,0.09411764705882353
xgboost,D_25ms_t,149,0.42953020134228187,0.15023474178403756
xgboost,D_50ms_m,149,0.2214765100671141,0.12087912087912088
xgboost,D_50ms_t,149,0.46308724832214765,0.2110091743119266
xgboost,L_10pct_m,146,0.18493150684931506,0.07803468208092486
xgboost,L_10pct_t,145,0.36551724137931035,0.17845117845117844
xgboost,L_1pct_m,147,0.21768707482993196,0.0893854748603352
xgboost,L_1pct_t,145,0.4068965517241379,0.14460784313725492
xgboost,L_20pct_m,146,0.136986301369863,0.08032128514056225
xgboost,L_20pct_t,152,0.4473684210526316,0.15454545454545454
xgboost,L_3pct_m,145,0.1724137931034483,0.07352941176470588
xgboost,L_3pct_t,144,0.3333333333333333,0.125
xgboost,L_5pct_m,150,0.10666666666666667,0.06425702811244981
xgboost,L_5pct_t,159,0.4088050314465409,0.14508928571428573
xgboost,N_high,163,0.0,0.0
xgboost,N_http,145,1.0,1.0
xgboost,N_low,148,1.0,1.0
xgboost,N_ping,142,1.0,1.0
xgboost,N_tcp,147,0.0,0.0
xgboost,N_udp,145,1.0,1.0
xgboost,_pooled,5370,0.3793296089385475,0.4199926173153845
rule_based,B_10M_m,165,0.0,0.0
rule_based,B_10M_t,146,0.0,0.0
rule_based,B_1M_m,145,0.0,0.0
rule_based,B_1M_t,145,0.013793103448275862,0.013605442176870748
rule_based,B_20M_m,146,0.0,0.0
rule_based,B_20M_t,147,0.013605442176870748,0.013422818791946308
rule_based,B_2M_m,163,0.0,0.0
rule_based,B_2M_t,148,0.02702702702702703,0.02631578947368421
rule_based,B_5M_m,144,0.0,0.0
rule_based,B_5M_t,148,0.0,0.0
rule_based,D_100ms_m,144,0.0,0.0
rule_based,D_100ms_t,144,0.0,0.0
rule_based,D_10ms_m,166,0.0,0.0
rule_based,D_10ms_t,144,0.0,0.0
rule_based,D_200ms_m,166,0.0,0.0
rule_based,D_200ms_t,147,0.0,0.0
rule_based,D_25ms_m,146,0.0,0.0
rule_based,D_25ms_t,149,0.0,0.0
rule_based,D_50ms_m,149,0.0,0.0
rule_based,D_50ms_t,149,0.0,0.0
rule_based,L_10pct_m,146,0.0,0.0
rule_based,L_10pct_t,145,0.0,0.0
rule_based,L_1pct_m,147,0.0,0.0
rule_based,L_1pct_t,145,0.0,0.0
rule_based,L_20pct_m,146,0.0,0.0
rule_based,L_20pct_t,152,0.0,0.0
rule_based,L_3pct_m,145,0.0,0.0
rule_based,L_3pct_t,144,0.0,0.0
rule_based,L_5pct_m,150,0.0,0.0
rule_based,L_5pct_t,159,0.0,0.0
rule_based,N_high,163,0.9754601226993865,0.4937888198757764
rule_based,N_http,145,1.0,1.0
rule_based,N_low,148,0.9256756756756757,0.4807017543859649
rule_based,N_ping,142,1.0,1.0
rule_based,N_tcp,147,0.9659863945578231,0.4913494809688581
rule_based,N_udp,145,0.8620689655172413,0.46296296296296297
rule_based,_pooled,5370,0.15977653631284916,0.0710049658558339
