model,accuracy_mean,accuracy_std,accuracy_count,precision_macro_mean,precision_macro_std,precision_macro_count,recall_macro_mean,recall_macro_std,recall_macro_count,f1_macro_mean,f1_macro_std,f1_macro_count,ddos_recall_mean,ddos_recall_std,ddos_recall_count
Autoencoder,0.9978801664051662,0.0042393007853258925,5,0.9986179092022892,0.0026869422101485374,5,0.9991912274638693,0.0017044830675560522,5,0.9989042867307105,0.0021948605530493124,5,,,0
IsolationForest,0.018839556719110574,0.014072696068276998,5,0.7047619047619047,0.42719355222868194,5,0.008940111437045262,0.007152262044599699,5,0.017633098890339635,0.014040155178057007,5,,,0
RandomForest,0.9981033668622903,0.004137791298949989,5,0.9965633131409767,0.006012043734133392,5,0.9823506088126945,0.0394297312335866,5,0.9880815329862334,0.02571609866253851,5,0.9999618793481367,8.524036891260605e-05,5
XGBoost,0.8504833819155051,0.3339135033114311,5,0.9370583672425822,0.1336901956803957,5,0.905773126696141,0.19196944679016575,5,0.8755644842485433,0.26462795475549794,5,0.9999618793481367,8.524036891260605e-05,5
