Model,Train_Time_sec,Inference_ms
XGBoost,0.4342647999997098,0.3273635999998987
Random Forest,0.6850444000001517,15.252109799999744
Isolation Forest,0.4397425000001931,4.299262800000179
Autoencoder,,51.876523000000816
