model,label,precision,recall,f1,support
random_forest,normal,0.9917355371900827,0.9448818897637795,0.967741935483871,254
random_forest,bandwidth,0.900709219858156,0.8881118881118881,0.8943661971830986,429
random_forest,loss,0.8787128712871287,0.8765432098765432,0.8776266996291718,405
random_forest,delay,0.9526881720430107,0.9932735426008968,0.9725576289791438,446
svm,normal,0.9428571428571428,0.9094488188976378,0.9258517034068137,254
svm,bandwidth,0.8163265306122449,0.8391608391608392,0.8275862068965517,429
svm,loss,0.8205741626794258,0.8469135802469135,0.8335358444714459,405
svm,delay,0.9837209302325581,0.9484304932735426,0.9657534246575342,446
xgboost,normal,0.9397590361445783,0.9212598425196851,0.9304174950298211,254
xgboost,bandwidth,0.9002320185614849,0.9044289044289044,0.9023255813953488,429
xgboost,loss,0.8427835051546392,0.8074074074074075,0.8247162673392182,405
xgboost,delay,0.9227467811158798,0.9641255605381166,0.9429824561403509,446
rule_based,normal,0.2560483870967742,1.0,0.40770465489566615,254
rule_based,bandwidth,0.23333333333333334,0.03263403263403263,0.05725971370143149,429
rule_based,loss,0.5390625,0.34074074074074073,0.4175491679273828,405
rule_based,delay,0.9911504424778761,0.5022421524663677,0.6666666666666666,446
