Class,Precision,Recall,F1-Score,Support
ddos,0.49584836511481417,0.992776886035313,0.6613710139392782,8722
normal,0.9636994219653179,0.9976065102920058,0.9803598729860049,4178
portscan,0.9970582226762003,0.7314390192728472,0.843839690169093,33363
