Model,Approach,Classification,Accuracy,Precision,Recall,F1_macro,ROC_AUC,PR_AUC,Inference_ms
XGBoost,Supervised,Multiclass,0.8047467738797743,0.8188686699187775,0.9072741385333886,0.8285235256981253,0.9251577581673303,,0.3852939000353217
Random Forest,Supervised,Multiclass,0.7941767719343752,0.8064952430763347,0.903330201127332,0.8176263630435567,0.9273532796898878,,15.84231620002538
Isolation Forest,Unsupervised,Binary (Anomaly),0.17089250589023625,0.9448687350835322,0.09407152191992396,0.171107509454349,0.7268934232521852,0.9470304322427705,3.873346299980767
Autoencoder,Unsupervised,Binary (Anomaly),0.49285606207984783,0.9889209766342872,0.447522870381371,0.616194994274497,0.8370560036780745,0.9791439576480704,34.15964420000091
