contamination,Accuracy,Precision_Anomaly,Recall_Anomaly,F1_Anomaly,FPR,FNR,TN,FP,FN,TP,Train_Time_sec
0.001,0.09208222553660593,0.9456521739130435,0.00206724486158964,0.004125471228394623,0.0011967448539971278,0.9979327551384104,4173,5,41998,87,1.4434037999017164
0.005,0.09197414780710286,0.7984496124031008,0.0024474278246406083,0.004879897664281992,0.006223073240785065,0.9975525721753594,4152,26,41982,103,1.4390773999039084
0.01,0.09175799234809676,0.7161290322580646,0.0026375193061660925,0.005255681818181818,0.010531354715174725,0.9973624806938339,4134,44,41974,111,1.4430805000010878
0.05,0.17089250589023625,0.9448687350835322,0.09407152191992396,0.171107509454349,0.0552896122546673,0.905928478080076,3947,231,38126,3959,1.4300166999455541
