protocol,feature_set,model,fold,heldout_scenario,heldout_label,n_test_tuples,n_test_runs,n_test_labels,accuracy,f1_macro,recall_heldout_label,support_ddos,recall_ddos,support_normal,recall_normal,support_portscan,recall_portscan
leave_one_scenario_out,with_raw_ports,RandomForest,17,portscan_syn_h5_h2_top20_r40,portscan,44,2,1,0.6363636363636364,0.25925925925925924,0.6363636363636364,0,,0,,44,0.6363636363636364
leave_one_scenario_out,with_raw_ports,XGBoost,17,portscan_syn_h5_h2_top20_r40,portscan,44,2,1,0.7272727272727273,0.2807017543859649,0.7272727272727273,0,,0,,44,0.7272727272727273
leave_one_scenario_out,with_raw_ports,RandomForest,18,portscan_syn_h5_h3_p1_96_r90,portscan,334,1,1,1.0,0.3333333333333333,1.0,0,,0,,334,1.0
leave_one_scenario_out,with_raw_ports,XGBoost,18,portscan_syn_h5_h3_p1_96_r90,portscan,334,1,1,1.0,0.3333333333333333,1.0,0,,0,,334,1.0
leave_one_scenario_out,with_raw_ports,RandomForest,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,1024,4,1,1.0,0.3333333333333333,1.0,0,,0,,1024,1.0
leave_one_scenario_out,with_raw_ports,XGBoost,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,1024,4,1,1.0,0.3333333333333333,1.0,0,,0,,1024,1.0
leave_one_scenario_out,with_raw_ports,RandomForest,20,portscan_syn_h6_h1_p200_320_r70,portscan,1200,4,1,1.0,0.3333333333333333,1.0,0,,0,,1200,1.0
leave_one_scenario_out,with_raw_ports,XGBoost,20,portscan_syn_h6_h1_p200_320_r70,portscan,1200,4,1,1.0,0.3333333333333333,1.0,0,,0,,1200,1.0
leave_one_scenario_out,no_raw_ports,RandomForest,0,ddos_icmp_multi_h4h6_h1h3,ddos,4260,5,1,0.961737089201878,0.32683179769454745,0.961737089201878,4260,0.961737089201878,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,0,ddos_icmp_multi_h4h6_h1h3,ddos,4260,5,1,0.9708920187793427,0.32841035413689057,0.9708920187793427,4260,0.9708920187793427,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,1,ddos_syn_multi_h4h5_h1h2,ddos,8471,6,1,0.61704639357809,0.2543923687156276,0.61704639357809,8471,0.61704639357809,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,1,ddos_syn_multi_h4h5_h1h2,ddos,8471,6,1,0.7093613504899068,0.2766574585635359,0.7093613504899068,8471,0.7093613504899068,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,2,ddos_syn_multiport_h4_h1,ddos,16916,6,1,0.9377512414282336,0.3226252580412256,0.9377512414282336,16916,0.9377512414282336,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,2,ddos_syn_multiport_h4_h1,ddos,16916,6,1,0.9607472215653818,0.32666023476443157,0.9607472215653818,16916,0.9607472215653818,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,3,ddos_syn_multiport_multi_h4h6_h1h3,ddos,12493,5,1,0.6067397742735932,0.2517477872432289,0.6067397742735932,12493,0.6067397742735932,0,,0,
