model,label,precision,recall,f1,support
random_forest,normal,0.991701244813278,0.9409448818897638,0.9656565656565657,254
random_forest,bandwidth,0.9002375296912114,0.8834498834498834,0.8917647058823529,429
random_forest,loss,0.8613138686131386,0.8740740740740741,0.8676470588235294,405
random_forest,delay,0.9631236442516269,0.9955156950672646,0.9790518191841234,446
svm,normal,0.9428571428571428,0.9094488188976378,0.9258517034068137,254
svm,bandwidth,0.81859410430839,0.8414918414918415,0.8298850574712644,429
svm,loss,0.8229665071770335,0.8493827160493828,0.8359659781287971,405
svm,delay,0.9837209302325581,0.9484304932735426,0.9657534246575342,446
xgboost,normal,0.9397590361445783,0.9212598425196851,0.9304174950298211,254
xgboost,bandwidth,0.9063231850117096,0.9020979020979021,0.9042056074766355,429
xgboost,loss,0.8426395939086294,0.8197530864197531,0.8310387984981227,405
xgboost,delay,0.9267241379310345,0.9641255605381166,0.945054945054945,446
rule_based,normal,0.24708171206225682,1.0,0.3962558502340094,254
rule_based,bandwidth,0.5833333333333334,0.03263403263403263,0.06181015452538632,429
rule_based,loss,0.5390625,0.34074074074074073,0.4175491679273828,405
rule_based,delay,0.9911504424778761,0.5022421524663677,0.6666666666666666,446
